,WellName,unique_core_descriptions.csv,unique_core_photos.csv,unique_discovery.csv,unique_GEOLINK.csv,unique_Norwegian_shows_v2.csv,unique_public_core_images_excel_recording.csv,unique_RealLogs_Por_Perm.csv,unique_RealLogs_completion.csv,unique_stratigraphic_picks.csv,Occurances
1392,6610_3_1,0,0,0,0,1,0,0,0,0,2
1393,6407_4_2,0,0,0,0,0,0,1,0,0,2
1394,7_8_5,0,0,0,0,0,0,0,0,1,2
1395,34_10_30,0,0,0,0,0,0,1,0,1,4
1396,16_2_15,0,0,0,0,0,0,1,0,1,4
1397,34_10_42S,0,0,0,0,0,0,1,0,0,2
1398,25_11_14_SR,0,0,0,0,0,0,1,0,0,2
1399,33_9_M_1H,0,0,0,0,0,0,1,0,0,2
1400,31_4A23,0,0,0,0,0,0,1,0,0,2
1401,34_3_1,0,0,1,1,0,0,0,0,1,6
1402,9_2_6,0,0,1,0,0,0,0,0,1,4
1403,6506_12_I_2H,0,0,0,0,0,0,1,0,0,2
1404,2_5_11,0,0,1,0,0,0,0,0,0,2
1405,25_8_B2,0,0,0,0,0,0,1,0,0,2
1406,6407_8_6A,0,0,0,0,0,0,1,0,0,2
1407,6706_12_1,0,0,0,0,0,0,1,0,0,2
1408,1_9_2,0,0,0,0,0,0,1,0,0,2
1409,34_10_A_28,0,0,0,0,0,0,1,0,0,2
1410,34_4_12,0,0,1,0,0,0,1,0,1,6
1411,34_10_29,0,0,0,0,0,0,0,0,1,2
1412,16_4_10,0,0,0,0,0,0,1,0,1,4
1413,7122_7_6,0,0,0,0,0,0,1,0,0,2
1414,15_9_23,0,0,0,1,0,0,0,0,1,4
1415,30_6_C8,0,0,0,0,0,0,1,0,0,2
1416,2_7_29,0,0,0,0,1,0,1,0,0,4
1417,34_10_C_6,0,0,0,0,0,0,1,0,0,2
1418,34_11_4T2,0,0,0,0,0,0,1,0,0,2
1419,34_8_2,0,0,0,0,0,0,1,0,1,4
1420,6407_9_C_2H,0,0,0,0,0,0,1,0,0,2
