,WellName,unique_core_descriptions.csv,unique_core_photos.csv,unique_discovery.csv,unique_GEOLINK.csv,unique_Norwegian_shows_v2.csv,unique_public_core_images_excel_recording.csv,unique_RealLogs_Por_Perm.csv,unique_RealLogs_completion.csv,unique_stratigraphic_picks.csv,Occurances
1304,35_3_5,0,0,0,1,1,0,1,0,1,4
1305,25_11_23,0,0,0,1,0,0,1,0,1,3
1306,2_8_A_29,0,0,0,0,0,0,1,0,0,1
1307,33_9_A_37_B,0,0,0,0,0,0,1,0,0,1
1308,15_6_3,0,0,1,0,1,0,0,0,1,3
1309,6407_8_6A,0,0,0,0,0,0,1,0,0,1
1310,34_10_45,0,0,1,0,0,0,0,0,1,2
1311,2_1_A_24B,0,0,0,0,0,0,1,0,0,1
1312,9_2_6,0,0,1,0,0,0,0,0,1,2
1313,2_4_18R,0,0,0,0,0,0,1,0,0,1
1314,34_7_3,0,0,0,0,0,0,1,0,1,2
1315,30_6_15,0,0,1,0,0,0,1,0,1,3
1316,9_2_3,0,0,0,0,0,0,0,0,1,1
1317,2011_02_01,0,0,1,0,0,0,0,0,0,1
1318,34_7_P_8,0,0,0,0,0,0,1,0,0,1
1319,6506_9_3,0,0,1,0,0,0,1,0,0,2
1320,25_6_4,0,0,0,0,0,0,0,0,1,1
1321,6507_5_9,0,0,1,0,0,0,0,0,0,1
1322,16_4_8,0,0,0,0,0,0,1,0,1,2
1323,16_7_6,0,0,0,1,0,0,1,0,1,3
1324,15_9_A26,0,0,0,0,0,0,1,0,0,1
1325,25_10_7S,0,0,0,0,0,0,1,0,0,1
1326,7120_1_3,0,0,1,0,0,0,1,0,0,2
1327,2_12_2_S,0,0,0,0,0,0,1,0,0,1
1328,6506_11_8,0,0,0,0,0,0,1,0,0,1
1329,15_3_5,0,0,0,0,1,0,1,0,1,3
1330,26_4_1,0,0,0,1,1,0,1,0,1,4
1331,34_10_19,0,0,0,1,0,0,1,0,1,3
1332,6407_10_1,1,1,0,0,1,0,1,0,0,4
1333,24_6_3,0,0,0,0,0,0,0,0,1,1
1334,30_3_A_7_A,0,0,0,0,0,0,1,0,0,1
1335,15_12_20,0,0,1,0,0,0,1,0,1,3
1336,6406_2_3,0,0,1,0,0,0,0,0,0,1
1337,7220_6_1,0,0,0,0,0,0,1,0,0,1
1338,30_7_3,0,0,0,0,0,0,0,0,1,1
1339,25_8_8_A,0,0,0,0,0,0,1,0,0,1
1340,15_9_15,0,0,1,1,1,0,1,0,1,5
1341,6507_7_14,0,0,1,0,0,0,1,0,0,2
1342,2_11_A_8,0,0,0,0,0,0,1,0,0,1
1343,30_5_3,0,0,1,0,0,0,1,0,1,3
1344,31_2_P_41,0,0,0,0,0,0,1,0,0,1
1345,2_6_1,0,0,0,0,1,0,0,0,0,1
1346,6507_7_4,1,0,0,0,1,1,1,1,0,5
1347,2005_02_06,0,0,1,0,0,0,0,0,0,1
1348,2_7_30,0,0,0,0,1,0,1,0,0,2
1349,6610_7_2,0,0,0,0,1,0,1,0,0,2
1350,6407_9_5,0,0,0,0,1,0,1,0,0,2
1351,31_2_L_41,0,0,0,0,0,0,1,0,0,1
1352,30_9_22,0,0,1,0,0,0,1,0,1,3
1353,35_11_15S,0,0,0,0,0,0,1,0,0,1
1354,10_8_1,0,0,0,0,0,0,0,0,1,1
1355,7121_7_1,0,0,0,0,0,0,1,0,0,1
1356,8_10_6,0,0,0,0,0,0,1,0,1,2
1357,30_9_B23,0,0,0,0,0,0,1,0,0,1
1358,34_10_18,0,0,0,1,0,0,1,0,1,3
1359,6204_11_2,0,0,0,0,0,0,0,0,1,1
1360,25_11_13,0,0,0,0,0,0,0,0,1,1
1361,34_10_12,0,0,0,1,0,0,1,0,1,3
1362,6506_9_1,0,0,0,0,0,0,1,0,0,1
1363,34_7_15,0,0,0,1,0,0,0,0,1,2
1364,34_7_29_S,0,0,0,0,0,0,1,0,0,1
1365,34_11_2S,0,0,0,0,0,0,1,0,0,1
1366,1_9_7T3,0,0,0,0,0,0,1,0,0,1
1367,34_8_3,0,0,0,1,0,0,1,0,1,3
1368,16_2_6,0,0,1,1,0,0,1,0,1,4
1369,6406_2_5,0,0,0,0,1,0,0,0,0,1
1370,34_7_C_2_H,0,0,0,0,0,0,1,0,0,1
1371,15_6_8_S,0,0,0,0,1,0,0,0,0,1
1372,7220_5_1,0,0,0,0,0,0,1,0,0,1
1373,33_12_4,0,0,0,0,0,0,1,0,1,2
1374,6507_8_5,0,0,0,0,0,0,1,0,0,1
1375,6406_2_4SR,0,0,0,0,0,0,1,0,0,1
1376,7220_4_1,0,0,1,0,0,0,1,0,0,2
1377,33_6_3,0,0,0,1,0,0,0,0,1,2
1378,16_2_16,0,0,0,1,0,0,1,0,1,3
1379,6507_7_A_20,0,0,0,0,0,0,1,0,0,1
1380,30_9_24,0,0,0,0,0,0,0,0,1,1
1381,6406_2_7,0,0,1,0,0,0,1,0,0,2
1382,6510_2_1,0,0,0,0,0,0,1,0,0,1
1383,30_6_25,0,0,0,0,1,0,0,0,1,2
1384,6305_5_M2,0,0,0,0,0,0,1,0,0,1
1385,2_6_3,0,0,0,0,1,0,1,0,0,2
1386,30_3_A_13,0,0,0,0,0,0,1,0,0,1
1387,25_10_06,0,0,0,0,1,0,0,0,0,1
1388,30_11_6,0,0,0,0,0,0,1,0,1,2
1389,16_8_1,0,0,0,1,0,0,0,0,1,2
1390,31_2_O_41,0,0,0,0,0,0,1,0,0,1
