prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
ALBUSKJELL,1988,5,0.01591,0.05715,0.00805,0.00000,0.08111,0.00000,43437
ALBUSKJELL,1988,6,0.01444,0.05517,0.00873,0.00000,0.07833,0.00000,43437
ALBUSKJELL,1988,7,0.01534,0.05070,0.00786,0.00000,0.07391,0.00000,43437
ALBUSKJELL,1988,8,0.01578,0.05414,0.00892,0.00000,0.07884,0.00000,43437
ALBUSKJELL,1988,9,0.01481,0.04954,0.00812,0.00000,0.07247,0.00000,43437
ALBUSKJELL,1988,10,0.01383,0.04202,0.00648,0.00000,0.06233,0.00000,43437
ALBUSKJELL,1988,11,0.01098,0.03468,0.00537,0.00000,0.05104,0.00000,43437
ALBUSKJELL,1988,12,0.01059,0.03550,0.00573,0.00000,0.05182,0.00000,43437
ALBUSKJELL,1989,1,0.00948,0.03529,0.00495,0.00000,0.04971,0.00000,43437
ALBUSKJELL,1989,2,0.00846,0.02956,0.00473,0.00000,0.04275,0.00000,43437
ALBUSKJELL,1989,3,0.00881,0.03141,0.00464,0.00000,0.04487,0.00000,43437
ALBUSKJELL,1989,4,0.01208,0.03463,0.00535,0.00000,0.05206,0.00000,43437
ALBUSKJELL,1989,5,0.01447,0.04349,0.00640,0.00000,0.06436,0.00000,43437
ALBUSKJELL,1989,6,0.01384,0.04083,0.00581,0.00000,0.06049,0.00000,43437
ALBUSKJELL,1989,7,0.01339,0.04144,0.00583,0.00000,0.06066,0.00000,43437
ALBUSKJELL,1989,8,0.01327,0.04124,0.00590,0.00000,0.06041,0.00000,43437
ALBUSKJELL,1989,9,0.01223,0.04034,0.00606,0.00000,0.05862,0.00000,43437
ALBUSKJELL,1989,10,0.01204,0.04085,0.00628,0.00000,0.05917,0.00000,43437
ALBUSKJELL,1989,11,0.01184,0.03733,0.00539,0.00000,0.05457,0.00000,43437
ALBUSKJELL,1989,12,0.01159,0.03971,0.00567,0.00000,0.05697,0.00000,43437
ALBUSKJELL,1990,1,0.01216,0.03863,0.00550,0.00000,0.05630,0.00000,43437
ALBUSKJELL,1990,2,0.01009,0.03447,0.00508,0.00000,0.04964,0.00000,43437
ALBUSKJELL,1990,3,0.01058,0.03198,0.00480,0.00000,0.04736,0.00000,43437
ALBUSKJELL,1990,4,0.01078,0.03414,0.00488,0.00000,0.04980,0.00000,43437
ALBUSKJELL,1990,5,0.00864,0.02684,0.00348,0.00000,0.03896,0.00000,43437
ALBUSKJELL,1990,6,0.00740,0.02128,0.00301,0.00000,0.03169,0.00000,43437
ALBUSKJELL,1990,7,0.00791,0.02344,0.00293,0.00000,0.03427,0.00000,43437
ALBUSKJELL,1990,8,0.00851,0.02472,0.00352,0.00000,0.03674,0.00000,43437
ALBUSKJELL,1990,9,0.00782,0.02252,0.00299,0.00000,0.03334,0.00000,43437
ALBUSKJELL,1990,10,0.00811,0.02674,0.00336,0.00000,0.03820,0.00000,43437
ALBUSKJELL,1990,11,0.00837,0.02654,0.00305,0.00000,0.03796,0.00000,43437
ALBUSKJELL,1990,12,0.00858,0.02727,0.00325,0.00000,0.03910,0.00000,43437
ALBUSKJELL,1991,1,0.00834,0.02651,0.00318,0.00000,0.03803,0.00000,43437
ALBUSKJELL,1991,2,0.00728,0.02311,0.00267,0.00000,0.03306,0.00000,43437
ALBUSKJELL,1991,3,0.00790,0.02602,0.00312,0.00000,0.03705,0.00000,43437
ALBUSKJELL,1991,4,0.00761,0.02492,0.00300,0.00000,0.03553,0.00000,43437
ALBUSKJELL,1991,5,0.00800,0.02424,0.00296,0.00000,0.03520,0.00000,43437
ALBUSKJELL,1991,6,0.00823,0.02346,0.00280,0.00000,0.03448,0.00000,43437
ALBUSKJELL,1991,7,0.00778,0.02279,0.00239,0.00000,0.03297,0.00000,43437
ALBUSKJELL,1991,8,0.00386,0.00478,0.00038,0.00000,0.00901,0.00000,43437
ALBUSKJELL,1991,9,0.00801,0.02579,0.00312,0.00000,0.03691,0.00000,43437
ALBUSKJELL,1991,10,0.00848,0.02501,0.00290,0.00000,0.03639,0.00000,43437
ALBUSKJELL,1991,11,0.00740,0.02203,0.00233,0.00000,0.03176,0.00000,43437
ALBUSKJELL,1991,12,0.00796,0.02253,0.00255,0.00000,0.03303,0.00000,43437
ALBUSKJELL,1992,1,0.00763,0.02317,0.00244,0.00000,0.03325,0.00000,43437
ALBUSKJELL,1992,2,0.00674,0.02151,0.00213,0.00000,0.03037,0.00000,43437
ALBUSKJELL,1992,3,0.00603,0.01774,0.00181,0.00000,0.02558,0.00000,43437
ALBUSKJELL,1992,4,0.00827,0.02461,0.00265,0.00000,0.03553,0.00000,43437
ALBUSKJELL,1992,5,0.00549,0.01970,0.00190,0.00000,0.02709,0.00000,43437
ALBUSKJELL,1992,6,0.00733,0.02006,0.00221,0.00000,0.02960,0.00000,43437
ALBUSKJELL,1992,7,0.00763,0.02250,0.00228,0.00000,0.03241,0.00000,43437
ALBUSKJELL,1992,8,0.00773,0.02181,0.00235,0.00000,0.03189,0.00000,43437
ALBUSKJELL,1992,9,0.00694,0.02115,0.00227,0.00000,0.03036,0.00000,43437
ALBUSKJELL,1992,10,0.00722,0.02223,0.00166,0.00000,0.03111,0.00000,43437
ALBUSKJELL,1992,11,0.00685,0.02083,0.00191,0.00000,0.02960,0.00000,43437
ALBUSKJELL,1992,12,0.00894,0.03078,0.00318,0.00000,0.04289,0.00000,43437
ALBUSKJELL,1993,1,0.00833,0.02890,0.00295,0.00000,0.04017,0.00000,43437
ALBUSKJELL,1993,2,0.00785,0.02485,0.00257,0.00000,0.03527,0.00000,43437
ALBUSKJELL,1993,3,0.00827,0.02571,0.00263,0.00000,0.03661,0.00000,43437
ALBUSKJELL,1993,4,0.00831,0.02732,0.00284,0.00000,0.03847,0.00000,43437
ALBUSKJELL,1993,5,0.00838,0.02648,0.00281,0.00000,0.03767,0.00000,43437
ALBUSKJELL,1993,6,0.00795,0.02536,0.00275,0.00000,0.03607,0.00000,43437
ALBUSKJELL,1993,7,0.00812,0.02610,0.00280,0.00000,0.03703,0.00000,43437
ALBUSKJELL,1993,8,0.00819,0.02631,0.00279,0.00000,0.03729,0.00000,43437
ALBUSKJELL,1993,9,0.00799,0.02401,0.00262,0.00000,0.03462,0.00000,43437
ALBUSKJELL,1993,10,0.00756,0.02504,0.00261,0.00000,0.03520,0.00000,43437
ALBUSKJELL,1993,11,0.00743,0.02401,0.00261,0.00000,0.03404,0.00000,43437
ALBUSKJELL,1993,12,0.00771,0.02462,0.00262,0.00000,0.03495,0.00000,43437
