dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl,dscDateUpdated,dscDateUpdatedMax,DatesyncNPD
35/3-2 Agat,Wellesley Petroleum AS,Production is unlikely,GAS,35/3-2,North Sea,,,1980,,PRODUCTION LICENSE,884,44768,,136,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44768,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=44768,03.10.2019,03.10.2019,24.01.2020
35/3-7 S,Wellesley Petroleum AS,Included in other discovery,GAS,35/3-7 S,North Sea,,,2009,35/3-2 Agat,PRODUCTION LICENSE,884,17221700,,6154,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17221700,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=17221700,03.10.2019,03.10.2019,24.01.2020
35/8-1 Vega,Wintershall Dea Norge AS,Producing,GAS/CONDENSATE,35/8-1,North Sea,VEGA,14.06.2007,1981,,BUSINESS ARRANGEMENT AREA,VEGA UNIT,44774,4467595,205,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44774,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467595,18.11.2019,18.11.2019,24.01.2020
35/8-2 Vega,Wintershall Dea Norge AS,Included in other discovery,GAS/CONDENSATE,35/8-2,North Sea,VEGA,14.06.2007,1982,35/8-1 Vega,BUSINESS ARRANGEMENT AREA,VEGA UNIT,44780,4467595,434,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44780,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467595,18.11.2019,18.11.2019,24.01.2020
35/8-3 (Aurora),Equinor Energy AS,Production is unlikely,GAS,35/8-3,North Sea,,,1988,,PRODUCTION LICENSE,195,1333027,,1288,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1333027,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=1333027,03.10.2019,18.11.2019,24.01.2020
35/8-6 A (Robbins),Wintershall Dea Norge AS,Production is unlikely,OIL,35/8-6 A,North Sea,,,2016,,PRODUCTION LICENSE,248,28183437,,7941,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28183437,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=28183437,18.11.2019,18.11.2019,24.01.2020
35/9-1 Gjøa,Neptune Energy Norge AS,Producing,OIL/GAS,35/9-1,North Sea,GJØA,14.06.2007,1989,,PRODUCTION LICENSE,153,44786,4467574,1375,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44786,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467574,03.10.2019,18.11.2019,24.01.2020
35/9-14,,Production is unlikely,OIL,35/9-14,North Sea,,,2018,,,,31164621,,8358,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=31164621,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=31164621,09.01.2020,09.01.2020,24.01.2020
35/9-2,Neptune Energy Norge AS,Included in other discovery,OIL/GAS,35/9-2,North Sea,GJØA,14.06.2007,1991,35/9-1 Gjøa,PRODUCTION LICENSE,153,2449421,4467574,1600,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2449421,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467574,03.10.2019,18.11.2019,24.01.2020
35/9-3,Neptune Energy Norge AS,Production is unlikely,OIL/GAS,35/9-3,North Sea,,,1997,,PRODUCTION LICENSE,153,45651,,3206,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45651,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=45651,03.10.2019,18.11.2019,24.01.2020
35/9-6 S,,Production is unlikely,OIL/GAS,35/9-6 S,North Sea,,,2010,,,,18449542,,6429,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18449542,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=18449542,09.01.2020,09.01.2020,24.01.2020
35/9-7 Nova,Wintershall Dea Norge AS,Approved for production,OIL,35/9-7,North Sea,NOVA,27.09.2018,2012,,PRODUCTION LICENSE,418,21667341,33197696,6776,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=21667341,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=33197696,18.11.2019,04.12.2019,24.01.2020
36/7-1,Neptune Energy Norge AS,Included in other discovery,OIL/GAS,36/7-1,North Sea,GJØA,14.06.2007,1996,35/9-1 Gjøa,PRODUCTION LICENSE,153,44792,4467574,1794,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44792,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467574,03.10.2019,18.11.2019,24.01.2020
36/7-2,Wintershall Dea Norge AS,Production is unlikely,OIL,36/7-2,North Sea,,,1997,,PRODUCTION LICENSE,989,44798,,2990,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44798,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=44798,18.11.2019,18.11.2019,24.01.2020
36/7-4 Duva,Neptune Energy Norge AS,Approved for production,OIL/GAS,36/7-4,North Sea,DUVA,27.06.2019,2016,,PRODUCTION LICENSE,636,28543124,34833026,7988,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28543124,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=34833026,03.10.2019,24.01.2020,24.01.2020
