cmpLongName,fldName,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,DatesyncNPD
Equinor Energy AS,TRESTAKK,6.70,0.48,0.09,0.00,7.35,31.12.2018,59.10000,29396445,32011216,24.01.2020
Equinor Energy AS,TROLL,4.32,240.04,4.00,0.00,251.96,31.12.2018,30.58385,46437,32011216,24.01.2020
Equinor Energy AS,TUNE,0.02,0.13,0.00,0.00,0.14,31.12.2018,50.00000,853376,32011216,24.01.2020
Equinor Energy AS,TYRIHANS,3.32,18.46,3.69,0.00,28.80,31.12.2018,58.83550,3960848,32011216,24.01.2020
Equinor Energy AS,URD,1.28,0.00,0.00,0.00,1.28,31.12.2018,63.95455,2834734,32011216,24.01.2020
Equinor Energy AS,UTGARD,1.04,1.17,0.33,0.00,2.84,31.12.2018,38.44000,28975098,32011216,24.01.2020
Equinor Energy AS,VALEMON,0.32,2.96,0.03,0.00,3.34,31.12.2018,66.77500,20460969,32011216,24.01.2020
Equinor Energy AS,VESLEFRIKK,0.24,0.15,0.04,0.00,0.47,31.12.2018,18.00000,43618,32011216,24.01.2020
Equinor Energy AS,VEST EKOFISK,0.00,0.00,0.00,0.00,0.00,31.12.2018,7.60400,43513,32011216,24.01.2020
Equinor Energy AS,VIGDIS,4.25,0.00,0.01,0.00,4.27,31.12.2018,41.50000,43732,32011216,24.01.2020
Equinor Energy AS,VISUND,3.87,21.13,2.59,0.00,29.93,31.12.2018,53.20000,43745,32011216,24.01.2020
Equinor Energy AS,VISUND SØR,0.14,0.87,0.13,0.00,1.25,31.12.2018,53.20000,20461008,32011216,24.01.2020
Equinor Energy AS,YTTERGRYTA,0.00,0.00,0.00,0.00,0.00,31.12.2018,45.75000,4973114,32011216,24.01.2020
Equinor Energy AS,ÆRFUGL,2.08,10.89,1.22,0.00,15.27,31.12.2018,36.16500,33310197,32011216,24.01.2020
Equinor Energy AS,ØST FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,40.00000,43576,32011216,24.01.2020
Equinor Energy AS,ÅSGARD,2.53,13.85,2.72,0.00,21.55,31.12.2018,34.57000,43765,32011216,24.01.2020
